fieldName,variableType
observation_id, INT AUTO_INCREMENT PRIMARY KEY
object_id, INT
simple, char(1)
bitpix, FLOAT
naxis, INT
naxis1, INT
naxis2, INT
extend, char(1)
bzero, INT
bscale, INT
object, varchar(60)
observer, varchar(60)
propid, INT
obsid, varchar(60)
imagetyp, varchar(60)
ccdsum, varchar(60)
roireq, varchar(60)
utshut, varchar(60)
date, varchar(60)
nampsyx, varchar(60)
amplist, varchar(60)
detector, varchar(60)
fpa, varchar(60)
rexptime, FLOAT
exptime, FLOAT
texptime, FLOAT
darktime, FLOAT
nimages, INT
dheinf, varchar(60)
dhefirm, varchar(60)
speedmod, varchar(60)
geommod, varchar(60)
pixtime, FLOAT
powstat, FLOAT
fpgafirm, FLOAT
slot00, varchar(60)
slot01, varchar(60)
slot02, varchar(60)
slot03, varchar(60)
slot04, varchar(60)
slot07, varchar(60)
panid, varchar(60)
comment, varchar(256)
dhsid, varchar(60)
deckpos, FLOAT
decker, varchar(60)
focus, FLOAT
maxexp, INT
pmhv, varchar(60)
complamp, varchar(60)
iodcell, varchar(60)
observat, varchar(60)
telescop, varchar(60)
date_obs, varchar(60)
ut, varchar(60)
obs_ra, varchar(60)
obs_dec, varchar(60)
epoch, FLOAT
alt, FLOAT
ha, varchar(60)
st, varchar(60)
zd, FLOAT
airmass, FLOAT
rawfilename, varchar(128)
