fieldName,variableType
psf_id,INT AUTO_INCREMENT PRIMARY KEY
observation_id,INT
mdpar1,FLOAT
mdpar2,FLOAT
mdpar3,FLOAT
mdpar4,FLOAT
mdpar5,FLOAT
mdpar6,FLOAT
mdpar7,FLOAT
mdpar8,FLOAT
mdpar9,FLOAT
mdpar10,FLOAT
mdpar11,FLOAT
mdpar12,FLOAT
mdpar13,FLOAT
mdpar14,FLOAT
mdpar15,FLOAT
mdpar16,FLOAT
mdpar17,FLOAT
mdpar18,FLOAT
mdpar19,FLOAT
mdpar20,FLOAT
mnpar1,FLOAT
mnpar2,FLOAT
mnpar3,FLOAT
mnpar4,FLOAT
mnpar5,FLOAT
mnpar6,FLOAT
mnpar7,FLOAT
mnpar8,FLOAT
mnpar9,FLOAT
mnpar10,FLOAT
mnpar11,FLOAT
mnpar12,FLOAT
mnpar13,FLOAT
mnpar14,FLOAT
mnpar15,FLOAT
mnpar16,FLOAT
mnpar17,FLOAT
mnpar18,FLOAT
mnpar19,FLOAT
mnpar20,FLOAT
sp1,FLOAT
sp2,FLOAT
spst,varchar(60)
phase,FLOAT
psfpix1,FLOAT
psfpix2,FLOAT
psfpix3,FLOAT
psfpix4,FLOAT
psfpix5,FLOAT
psfpix6,FLOAT
psfpix7,FLOAT
psfpix8,FLOAT
psfpix9,FLOAT
psfpix10,FLOAT
psfpix11,FLOAT
psfpix12,FLOAT
psfpix13,FLOAT
psfpix14,FLOAT
psfpix15,FLOAT
psfsig1,FLOAT
psfsig2,FLOAT
psfsig3,FLOAT
psfsig4,FLOAT
psfsig5,FLOAT
psfsig6,FLOAT
psfsig7,FLOAT
psfsig8,FLOAT
psfsig9,FLOAT
psfsig10,FLOAT
psfsig11,FLOAT
psfsig12,FLOAT
psfsig13,FLOAT
psfsig14,FLOAT
psfsig15,FLOAT
